gene_id	gene_name	GeneGroup	chr	escape X inactivation	coeff	BH			
ENSG00000120280.5	CXorf21	protein_coding	chrX	candidate	0.264857416	0.026635691			
ENSG00000054179.6	ENTPD2	protein_coding	chr9	NA	0.268402942	0.042177838			
ENSG00000048462.5	TNFRSF17	protein_coding	chr16	NA	0.269358836	0.008481829			
ENSG00000086712.8	TXLNG	protein_coding	chrX	candidate	0.270670207	2.23E-05			
ENSG00000179363.6	TMEM31	protein_coding	chrX	candidate	0.271859303	1.32E-05			
ENSG00000229851.1	ARSD-AS1	lncRNA	chrX	candidate	0.278125368	0.002988537			
ENSG00000240556.1	RP11-479I1.4	lncRNA	chrX	candidate	0.287532036	0.001078214			
ENSG00000180574.3	EIF2S3L	protein_coding	chr12	NA	0.288962421	4.87E-08			
ENSG00000095932.4	C19orf77	protein_coding	chr19	NA	0.29222774	0.002949661			
ENSG00000196433.6	ASMT	protein_coding	PAR	candidate	0.305724209	0.000589003			
ENSG00000240178.1	CA5B-AS1	lncRNA	chrX	candidate	0.312537037	2.41E-05			
ENSG00000056998.13	GYG2	protein_coding	chrX	YES	0.316955069	0.003471151			
ENSG00000130741.5	EIF2S3	protein_coding	chrX	YES	0.322205905	1.23E-18			
ENSG00000182912.6	C21orf90	protein_coding	chr21	NA	0.322228747	0.001422524			
ENSG00000228906.1	RP13-216E22.4	lncRNA	chrX	candidate	0.322749248	0.047158264			
ENSG00000184368.10	MAP7D2	protein_coding	chrX	candidate	0.330393952	2.92E-05			
ENSG00000228709.1	AP001065.15	lncRNA	chr21	NA	0.332405163	0.001032211			
ENSG00000235890.1	TSPEAR-AS1	lncRNA	chr21	NA	0.33919712	0.00381666			
ENSG00000205664.5	RP11-706O15.1	protein_coding	chrX	candidate	0.340592383	7.69E-09			
ENSG00000183943.5	PRKX	protein_coding	chrX	YES	0.344439806	9.30E-08			
ENSG00000101846.6	STS	protein_coding	chrX	YES	0.353110881	1.38E-07			
ENSG00000006757.7	PNPLA4	protein_coding	chrX	YES	0.371161015	3.82E-14			
ENSG00000215301.5	DDX3X	protein_coding	chrX	YES	0.372967992	3.28E-14			
ENSG00000144837.4	PLA1A	protein_coding	chr3	NA	0.390815335	0.027688732			
ENSG00000234449.1	RP11-706O15.3	lncRNA	chrX	candidate	0.402079186	0.032442254			
ENSG00000126012.7	KDM5C	protein_coding	chrX	YES	0.404688186	6.08E-25			
ENSG00000225470.1	JPX	lncRNA	chrX	candidate	0.406489505	1.88E-14			
ENSG00000173674.6	EIF1AX	protein_coding	chrX	YES	0.410203272	3.70E-16			
ENSG00000169249.8	ZRSR2	protein_coding	chrX	candidate	0.416570905	3.98E-21			
ENSG00000198034.6	RPS4X	protein_coding	chrX	YES	0.449104015	1.20E-26			
ENSG00000022556.10	NLRP2	protein_coding	chr19	NA	0.509295239	0.004624042			
ENSG00000130021.8	HDHD1	protein_coding	chrX	candidate	0.521388551	8.70E-18			
ENSG00000005889.10	ZFX	protein_coding	chrX	YES	0.530743514	6.39E-25			
ENSG00000261600.1	RP11-575H3.1	lncRNA	chr2	NA	0.591261935	1.79E-05			
ENSG00000147050.9	KDM6A	protein_coding	chrX	YES	0.623677204	4.98E-35			
ENSG00000237531.1	RP11-309M23.1	lncRNA	PAR	candidate	0.653244158	1.14E-16			
ENSG00000229807.3	XIST	lncRNA	chrX	YES	7.618237041	4.49E-171			
